Section,Division,Group,Description,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024
A,02,,Forestry and logging,9.0,6.0,14.0,11.0,9.0,13.0,7.0,7.0,21.0,13.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
A,02,21,Silviculture and other forestry activities,3.0,1.0,4.0,3.0,1.0,8.0,2.0,3.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
A,02,22,Logging,0.0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A,02,23,Gathering of wild growing non-wood products,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,02,24,Support services to forestry,5.0,5.0,6.0,6.0,8.0,4.0,2.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A,03,,Fishing and aquaculture,4.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
A,03,31,Fishing,3.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
A,03,32,Aquaculture,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B,,,MINING AND QUARRYING,25.0,35.0,54.0,29.0,29.0,26.0,20.0,38.0,39.0,36.0,0.0,1.0,2.0,1.0,4.0,8.0,2.0,6.0,4.0,4.0,4.0,2.0,6.0,1.0,6.0,2.0,2.0,4.0,4.0,8.0,2.0,1.0,0.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,8.0,2.0,1.0,2.0,2.0,3.0,2.0
B,05,,Mining of coal and lignite,2.0,6.0,12.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,05,51,Mining of hard coal,2.0,6.0,12.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,05,52,Mining of lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,06,,Extraction of crude petroleum and natural gas,3.0,12.0,9.0,6.0,7.0,3.0,4.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
B,06,61,Extraction of crude petroleum,3.0,9.0,9.0,6.0,4.0,3.0,4.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
B,06,62,Extraction of natural gas,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,07,,Mining of metal ores,3.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
B,07,71,Mining of iron ores,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,07,72,Mining of non-ferrous metal ores,3.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
B,08,,Other mining and quarrying,8.0,8.0,12.0,11.0,10.0,7.0,6.0,6.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
B,08,81,"Quarrying of stone, sand and clay",5.0,1.0,6.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
B,08,89,Mining and quarrying n.e.c,3.0,7.0,6.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,09,,Mining support service activities,9.0,7.0,17.0,6.0,7.0,12.0,9.0,22.0,20.0,16.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0
B,09,91,Support activities for petroleum and natural gas extraction,5.0,5.0,14.0,5.0,4.0,11.0,8.0,19.0,18.0,14.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0
B,09,99,Support activities for other mining and quarrying,4.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,,,MANUFACTURING,1445.0,1446.0,1345.0,1289.0,1361.0,1482.0,1170.0,1018.0,1688.0,1989.0,56.0,48.0,77.0,60.0,71.0,84.0,75.0,111.0,104.0,98.0,134.0,100.0,103.0,127.0,168.0,139.0,157.0,136.0,124.0,150.0,145.0,145.0,141.0,153.0,150.0,149.0,202.0,137.0,225.0,161.0,136.0,181.0,138.0,175.0,193.0,142.0,140.0,150.0,148.0,179.0
C,10,,Manufacture of food products,65.0,62.0,70.0,75.0,96.0,90.0,87.0,61.0,156.0,189.0,1.0,6.0,10.0,3.0,2.0,2.0,4.0,4.0,7.0,6.0,12.0,4.0,4.0,6.0,21.0,8.0,13.0,10.0,13.0,15.0,21.0,16.0,18.0,11.0,15.0,13.0,18.0,16.0,27.0,17.0,9.0,11.0,12.0,12.0,18.0,21.0,9.0,7.0,10.0,12.0
C,10,101,Processing and preserving of meat and production of meat products,12.0,7.0,11.0,16.0,24.0,9.0,13.0,8.0,12.0,22.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0
C,10,102,"Processing and preserving of fish, crustaceans and molluscs",0.0,2.0,4.0,5.0,1.0,2.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
C,10,103,Processing and preserving of fruit and vegetables,4.0,2.0,5.0,5.0,6.0,2.0,1.0,5.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
C,10,104,Manufacture of vegetable and animal oils and fats,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C,10,105,Manufacture of dairy products,3.0,1.0,2.0,2.0,5.0,6.0,3.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,5.0
C,10,106,"Manufacture of grain mill products, starches and starch products",1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C,10,107,Manufacture of bakery and farinaceous products,29.0,23.0,22.0,19.0,23.0,33.0,40.0,18.0,53.0,53.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,2.0,2.0,1.0,13.0,0.0,5.0,5.0,2.0,7.0,2.0,4.0,8.0,4.0,2.0,3.0,5.0,5.0,6.0,4.0,4.0,6.0,5.0,2.0,7.0,4.0,3.0,2.0,2.0,4.0
C,10,108,Manufacture of other food products,15.0,24.0,20.0,24.0,33.0,38.0,23.0,19.0,63.0,81.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,6.0,6.0,4.0,10.0,4.0,9.0,6.0,5.0,5.0,9.0,5.0,9.0,5.0,11.0,8.0,4.0,3.0,5.0,7.0,4.0,11.0,3.0,3.0,4.0,2.0
C,10,109,Manufacture of prepared animal feeds,1.0,3.0,3.0,1.0,4.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
C,11,,Manufacture of beverages,15.0,13.0,21.0,23.0,28.0,25.0,28.0,17.0,66.0,85.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,10.0,3.0,4.0,5.0,4.0,5.0,5.0,6.0,8.0,4.0,10.0,8.0,4.0,12.0,6.0,10.0,9.0,1.0,13.0,4.0,9.0,4.0,5.0,12.0,6.0,8.0,7.0
C,11,110,Manufacture of beverages,15.0,13.0,21.0,23.0,28.0,25.0,28.0,17.0,66.0,85.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,10.0,3.0,4.0,5.0,4.0,5.0,5.0,6.0,8.0,4.0,10.0,8.0,4.0,12.0,6.0,10.0,9.0,1.0,13.0,4.0,9.0,4.0,5.0,12.0,6.0,8.0,7.0
C,12,,Manufacture of tobacco products,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,12,120,Manufacture of tobacco products,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,13,,Manufacture of textiles,48.0,52.0,52.0,59.0,55.0,64.0,50.0,40.0,72.0,65.0,3.0,3.0,4.0,3.0,2.0,6.0,1.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,6.0,9.0,4.0,7.0,8.0,6.0,6.0,7.0,5.0,9.0,7.0,1.0,15.0,2.0,2.0,7.0,6.0,7.0,6.0,3.0,6.0,3.0,4.0,4.0,8.0,11.0
C,13,131,Preparation and spinning of textile fibres,1.0,3.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
C,13,132,Weaving of textiles,4.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,13,133,Finishing of textiles,14.0,11.0,14.0,18.0,12.0,14.0,12.0,9.0,18.0,10.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0
C,13,139,Manufacture of other textiles,29.0,38.0,31.0,38.0,39.0,49.0,32.0,28.0,47.0,50.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,4.0,5.0,3.0,0.0,2.0,1.0,1.0,4.0,5.0,4.0,3.0,7.0,4.0,4.0,5.0,2.0,7.0,5.0,1.0,12.0,1.0,1.0,6.0,3.0,5.0,6.0,3.0,5.0,2.0,4.0,2.0,5.0,10.0
C,14,,Manufacture of wearing apparel,52.0,48.0,57.0,60.0,65.0,63.0,57.0,71.0,73.0,81.0,2.0,3.0,8.0,4.0,8.0,8.0,4.0,8.0,7.0,3.0,7.0,9.0,5.0,7.0,8.0,6.0,12.0,6.0,3.0,6.0,3.0,5.0,5.0,7.0,4.0,7.0,7.0,5.0,7.0,9.0,6.0,6.0,5.0,8.0,9.0,8.0,9.0,6.0,7.0,5.0
C,14,141,"Manufacture of wearing apparel, except fur apparel",48.0,45.0,51.0,56.0,61.0,62.0,56.0,71.0,71.0,77.0,2.0,3.0,8.0,4.0,8.0,8.0,4.0,8.0,7.0,3.0,7.0,9.0,5.0,7.0,8.0,6.0,12.0,5.0,3.0,6.0,3.0,5.0,5.0,6.0,3.0,6.0,7.0,5.0,7.0,8.0,6.0,6.0,4.0,8.0,9.0,8.0,9.0,5.0,7.0,5.0
C,14,142,Manufacture of articles of fur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,14,143,Manufacture of knitted and crocheted apparel,4.0,3.0,6.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,15,,Manufacture of leather and related products,8.0,10.0,7.0,5.0,9.0,10.0,5.0,6.0,11.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0
C,15,151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",6.0,9.0,5.0,4.0,8.0,9.0,3.0,2.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0
